Region,Year,Total,1Room_rent_SQM,2Room_rent_SQM,3Room_rent_SQM,4Room_rent_SQM,5Room_rent_SQM,6Room_rent_SQM,Empty_quota,Density_p_per_room,density_p_per_flat,Size_per_p_in_sqm,Ownership_quota,Amount_total,amount_Rentals,amount_Genossenschaft,amount_own_flat,amount_own_house,amount_Others
Schweiz,2020,16.5,20.4,18.2,16.6,15.6,15.6,16.5,1.54,  0.59 ,  2.2 ,  46.3 ,  36.2 ,3860675,2232548,109858,456787,941043,120438
Zurich,2020,19.3,25.5,21.6,19.2,18,17.8,19.8,0.72,  0.61 ,  2.2 ,  44.9 ,  27.4 ,701225,447314,49588,78490,113779,12054
Bern,2020,15.1,17.7,16.3,15.2,14.4,14.4,14.8,1.61,  0.57 ,  2.1 ,  46.5 ,  38.3 ,481061,267932,11403,52579,131551,17596
Luzern,2020,15.4,19.5,17.4,15.9,14.6,14.2,14.4,1.23,  0.58 ,  2.3 ,  47.0 ,  34.0 ,182067,109178,5965,23577,38323,5024
Uri,2020,13,13.9,13.2,13.8,12.5,12.1,14.1,1.74,  0.55 ,  2.3 ,  47.1 ,  44.4 ,15741,7395,767,1731,5262,586
Schwyz,2020,16.7,21.6,19.1,16.7,16,16.6,16,0.99,  0.57 ,  2.3 ,  50.2 ,  41.0 ,70613,38180,1010,10310,18637,2476
Obwalden,2020,14.5,25.5,17.7,14.5,13.4,13.7,11.8,0.96,  0.57 ,  2.3 ,  49.0 ,  47.7 ,16402,7631,0,2265,5553,839
Nidwalden,2020,16.1,17.3,19.1,16.8,15,15.6,14.5,1.23,  0.57 ,  2.2 ,  50.3 ,  38.8 ,19401,11091,172,3473,4049,616
Glarus,2020,13.3,13.2,14.5,14,13.1,11.6,12.3,1.72,  0.53 ,  2.2 ,  50.3 ,  48.0 ,18245,8614,180,1150,7615,685
Zug,2020,19.4,20.4,22.3,19.3,18.7,19.4,18.3,0.34,  0.60 ,  2.3 ,  47.6 ,  32.1 ,55599,35474,1054,10329,7519,1223
Freiburg,2020,14.7,19.4,16.9,14.8,13.6,13.7,13.3,1.80,  0.61 ,  2.4 ,  45.7 ,  41.3 ,136459,72674,593,12699,43590,6903
Solothurn,2020,14,16.5,15.1,14,13.6,13.2,14.1,3.15,  0.55 ,  2.2 ,  50.2 ,  48.2 ,124732,59834,1018,10640,49471,3770
Basel_Stadt,2020,18.2,21.4,19.3,17.7,17.6,18.1,18.7,1.10,  0.63 ,  2.0 ,  41.5 ,  15.4 ,97524,72378,9142,5857,9184,964
Basel-Land,2020,17,18.3,18.2,17.2,16.1,16.5,17.9,0.97,  0.56 ,  2.2 ,  48.2 ,  44.3 ,130256,66253,3321,13651,44088,2943
Schaffhausen,2020,13.7,14.9,15.5,13.7,13.2,13.1,14.8,1.59,  0.54 ,  2.1 ,  51.4 ,  38.1 ,38258,21719,973,3525,11059,981
Appenzell_A,2020,13.1,12.7,13.1,13.9,13.4,11.5,12.8,2.05,  0.52 ,  2.2 ,  51.6 ,  46.4 ,24263,12085,428,1661,9589,501
Appenzell_I,2020,14.6,0,15.9,14,15.5,13.8,9.9,2.59,  0.51 ,  2.4 ,  50.7 ,  58.0 ,6666,2617,0,513,3353,184
St.Gallen,2020,14.2,17.3,15.8,14.7,13.7,13,12.4,2.05,  0.55 ,  2.2 ,  48.1 ,  40.0 ,226234,126856,3090,25285,65102,5902
Graubunden,2020,15.2,18.9,17,15.4,14.6,13,12.3,0.87,  0.56 ,  2.1 ,  47.7 ,  44.3 ,93642,46950,1179,15351,26140,4022
Aargau,2020,15.4,17.7,17.1,15.7,14.6,14.1,14.4,2.10,  0.56 ,  2.3 ,  50.2 ,  46.6 ,302765,149971,3614,38315,102725,8141
Thurgau,2020,13.8,15.8,15.2,14.2,13.4,13,12.9,2.21,  0.54 ,  2.3 ,  51.9 ,  45.0 ,123854,63791,1390,13110,42640,2924
Tessin,2020,14,13.1,13.9,14.1,13.8,14.5,15.7,2.83,  0.58 ,  2.1 ,  48.7 ,  39.2 ,164885,88717,492,23374,41288,11014
Waadt,2020,18,23.7,19.7,17.7,16.9,16.5,18.3,1.35,  0.63 ,  2.2 ,  43.3 ,  29.9 ,360277,235177,4398,41630,65999,13073
Wallis,2020,14.1,17.1,15.5,14.2,13.2,12.4,12.9,2.29,  0.59 ,  2.2 ,  46.7 ,  54.3 ,155685,63572,595,38277,46186,7055
